customer_id,customer_name,customer_address,country,city,birthdate,marital_status,yearly_income,total_children,gender,education,acct_open_date,member_card,occupation,homeowner
1,Sheri Nowmer,2433 Bailey Road,Mexico,Tlaxiaco,8/26/1961,M,$30K - $50K,4,F,Partial High School,9/10/1991,Bronze,Skilled Manual,Y
2,Derrick Whelply,2219 Dewing Avenue,Canada,Sooke,7/3/1915,S,$70K - $90K,1,M,Partial High School,3/11/1993,Bronze,Professional,N
3,Jeanne Derry,7640 First Ave.,USA,Issaquah,6/21/1910,M,$50K - $70K,1,F,Bachelors Degree,6/11/1991,Bronze,Professional,Y
4,Michael Spence,337 Tosca Way,Canada,Burnaby,6/20/1969,M,$10K - $30K,4,M,Partial High School,5/21/1994,Normal,Skilled Manual,N
5,Maya Gutierrez,8668 Via Neruda,USA,Novato,5/10/1951,S,$30K - $50K,3,F,Partial College,8/21/1992,Silver,Manual,N
6,Robert Damstra,1619 Stillman Court,USA,Lynnwood,10/8/1942,S,$70K - $90K,3,F,Bachelors Degree,4/5/1992,Bronze,Professional,Y
7,Rebecca Kanagaki,2860 D Mt. Hood Circle,Mexico,Tlaxiaco,3/27/1949,M,$30K - $50K,2,F,Partial High School,5/1/1991,Bronze,Manual,Y
8,Kim Brunner,6064 Brodia Court,Mexico,San Andres,8/10/1922,M,$50K - $70K,2,M,Bachelors Degree,6/11/1992,Bronze,Professional,Y
9,Brenda Blumberg,7560 Trees Drive,Canada,Richmond,6/23/1979,M,$10K - $30K,5,M,Partial High School,11/14/1993,Normal,Skilled Manual,Y
10,Darren Stanz,1019 Kenwal Rd.,USA,Lake Oswego,8/26/1949,S,$30K - $50K,4,M,Bachelors Degree,5/4/1993,Golden,Management,N
11,Jonathan Murraiin,5423 Camby Rd.,USA,La Mesa,6/20/1967,S,$50K - $70K,4,M,High School Degree,4/23/1992,Bronze,Manual,N
12,Jewel Creek,1792 Belmont Rd.,USA,Chula Vista,10/18/1971,S,$30K - $50K,1,F,High School Degree,7/6/1991,Bronze,Skilled Manual,N
13,Peggy Medina,3796 Keller Ridge,Mexico,Mexico City,10/12/1975,S,$30K - $50K,4,M,High School Degree,10/9/1990,Bronze,Manual,N
14,Bryan Rutledge,3074 Ardith Drive,USA,Lincoln Acres,7/9/1912,M,$50K - $70K,2,F,Bachelors Degree,10/19/1992,Bronze,Management,Y
15,Walter Cavestany,7987 Seawind Dr.,Canada,Oak Bay,11/5/1941,S,$90K - $110K,3,M,Graduate Degree,8/9/1991,Bronze,Professional,Y
16,Peggy Planck,4864 San Carlos,Mexico,Camacho,6/2/1919,M,$50K - $70K,2,F,High School Degree,12/17/1993,Bronze,Skilled Manual,Y
17,Brenda Marshall,2687 Ridge Road,USA,Arcadia,3/20/1928,S,$90K - $110K,3,M,High School Degree,10/23/1993,Bronze,Management,Y
18,Daniel Wolter,2473 Orchard Way,USA,Altadena,9/21/1914,M,$30K - $50K,3,M,Partial College,10/24/1992,Bronze,Professional,Y
19,Dianne Collins,551 Rainier Dr,USA,Oakland,7/20/1953,S,$70K - $90K,1,F,High School Degree,9/21/1992,Bronze,Professional,N
20,Beverly Baker,591 Merriewood Drive,USA,Spring Valley,4/16/1974,S,$10K - $30K,2,F,Partial High School,4/2/1993,Normal,Manual,Y
